,D,X,R,S,M,N,A,B,G,test_acc_5,test_acc_med_5,test_acc_maj_5,i
40,cifarfs,0,0.5,0.0,,0.0,-1,-1,0,84.93956966666667,84.75023333333333,84.99245333333333,2.0
50,cifarfs,0,0.6,0.0,,0.2,-1,-1,0,75.71912533333334,76.03245666666668,75.78312466666667,2.0
61,cifarfs,0,0.7,0.0,,0.4,1,1,0,62.47822666666667,62.71378166666667,62.58800333333334,2.0
47,cifarfs,0,0.5,0.0,,0.6,1,1,0,42.51955733333333,42.191115,42.812004,2.0
96,fc100,0,0.3,0.0,,0.0,-1,-1,0,60.65689366666666,60.383116666666666,60.73200466666666,2.0
115,fc100,0,0.5,0.0,,0.2,1,1,0,53.15511333333333,53.342222,53.14622566666666,2.0
117,fc100,0,0.5,0.0,,0.4,1,1,0,43.26222733333333,43.465337000000005,43.37333900000001,2.0
135,fc100,0,0.7,0.0,,0.6,1,1,0,31.21955766666667,31.15333666666667,31.39644733333333,2.0
176,miniimagenet,0,0.4,0.0,,0.0,-1,-1,0,81.478235,81.346676,81.42223333333334,2.0
171,miniimagenet,0,0.3,0.0,,0.2,1,1,0,72.38178866666667,72.81734166666666,72.28712,2.0
197,miniimagenet,0,0.6,0.0,,0.4,1,1,0,58.74845466666667,59.18845233333334,58.830669666666665,2.0
198,miniimagenet,0,0.6,0.0,,0.6,-1,-1,0,39.507114333333334,39.38000233333333,39.94489333333333,2.0
